GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
East_Inner_Mongolia-EP_Coal_600_DRY-ep-368,2008,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-369,2008,600,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-370,2007,600,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-371,1998,600,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-372,1985,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-373,2013,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-374,2013,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-375,2008,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-376,2007,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-377,2007,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-378,2006,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-379,2006,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-380,2008,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-381,2008,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-382,2006,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-383,2006,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-384,2007,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-385,2006,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-386,2004,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-387,2004,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-388,2003,600,1
West_Inner_Mongolia-EP_Coal_600_RC-ep-389,2003,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-390,2007,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-391,2007,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-392,2005,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-393,2005,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-394,2010,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-395,2010,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-396,2011,600,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-397,2011,600,1
West_Inner_Mongolia-EP_Coal_600_OT-ep-398,2006,600,1
West_Inner_Mongolia-EP_Coal_600_OT-ep-399,2005,600,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-400,1999,500,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-401,1998,500,1
East_Inner_Mongolia-Coal_Small_RC-ep-402,1990,382,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-403,2014,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-404,2014,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-405,1990,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-406,2015,350,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-407,2009,350,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-408,2009,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-409,2011,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-410,2011,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-411,2011,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-412,2011,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-413,2009,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-414,2009,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-415,2014,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-416,2013,350,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-417,1990,350,1
East_Inner_Mongolia-Coal_Small_RC-ep-418,1990,347,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-419,2015,340,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-420,2010,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-421,2004,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-422,2004,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-423,1999,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-424,1998,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-425,1996,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-426,1995,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-427,2005,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-428,2005,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-429,1990,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-430,2010,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-431,2010,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-432,2006,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-433,2005,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-434,2015,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-435,2014,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-436,2015,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-437,2015,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-438,2008,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-439,2008,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-440,2007,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-441,2007,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-442,2002,330,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-443,2002,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-444,2011,330,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-445,2011,330,1
East_Inner_Mongolia-EP_Coal_300_DRY-ep-446,2009,300,1
East_Inner_Mongolia-EP_Coal_300_DRY-ep-447,2009,300,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-448,2007,300,1
West_Inner_Mongolia-EP_Coal_300_DRY-ep-449,2007,300,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-450,2007,300,1
West_Inner_Mongolia-EP_Coal_300_RC-ep-451,2006,300,1
