GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Chongqing-Coal_100_RC-ep-2096,1.0,9.06
Chongqing-Coal_100_RC-ep-2097,0.4,9.7395
Chongqing-Coal_100_RC-ep-2097,1.0,9.06
Chongqing-Coal_100_RC-ep-2098,0.4,9.7395
Chongqing-Coal_100_RC-ep-2098,1.0,9.06
Chongqing-Coal_300_OT-12673,0.4,9.589
Chongqing-Coal_300_OT-12673,1.0,8.92
Chongqing-Coal_300_RC-12663,0.4,9.589
Chongqing-Coal_300_RC-12663,1.0,8.92
Chongqing-Coal_300_RC-12681,0.4,9.589
Chongqing-Coal_300_RC-12681,1.0,8.92
Chongqing-Coal_600_OT-12671,0.4,9.08375
Chongqing-Coal_600_OT-12671,1.0,8.45
Chongqing-Coal_600_RC-12661,0.4,9.08375
Chongqing-Coal_600_RC-12661,1.0,8.45
Chongqing-Coal_600_RC-12679,0.4,9.08375
Chongqing-Coal_600_RC-12679,1.0,8.45
Chongqing-Coal_IGCC_RC-12665,0.4,12.75715
Chongqing-Coal_IGCC_RC-12665,1.0,8.89
Chongqing-Coal_IGCC_RC-12683,0.4,12.75715
Chongqing-Coal_IGCC_RC-12683,1.0,8.89
Chongqing-Coal_Small_OT-ep-2093,0.4,10.3845
Chongqing-Coal_Small_OT-ep-2093,1.0,9.66
Chongqing-Coal_Small_RC-ep-2075,0.4,10.406
Chongqing-Coal_Small_RC-ep-2075,1.0,9.68
Chongqing-Coal_Small_RC-ep-2100,0.4,10.406
Chongqing-Coal_Small_RC-ep-2100,1.0,9.68
Chongqing-Coal_Small_RC-ep-2101,0.4,10.406
Chongqing-Coal_Small_RC-ep-2101,1.0,9.68
Chongqing-EP_Coal_1000_RC-ep-2065,0.4,8.2345
Chongqing-EP_Coal_1000_RC-ep-2065,1.0,7.66
Chongqing-EP_Coal_1000_RC-ep-2066,0.4,8.2345
Chongqing-EP_Coal_1000_RC-ep-2066,1.0,7.66
Chongqing-EP_Coal_300_OT-ep-2076,0.4,9.16975
Chongqing-EP_Coal_300_OT-ep-2076,1.0,8.53
